delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
780.3798485,1170.311959,902.7222024,1982.894654,0.455254746,0.5902038,0.393555879,1.296425363,0.864473973,1.479278708,0
750.6820616,1164.697919,894.6175266,1968.704354,0.454419438,0.59160631,0.381307666,1.301894815,0.839109496,1.494910623,0
694.3811063,1165.062421,876.2674805,1956.300866,0.447920612,0.59554358,0.354945969,1.329573956,0.792430533,1.52334196,0
687.5053959,1164.982161,876.1326075,1956.039808,0.44791144,0.595582031,0.351478223,1.329687025,0.784704724,1.52884828,0
689.3298285,1159.459166,886.7714418,1952.988573,0.454058694,0.593684562,0.352961527,1.307506209,0.777347799,1.536010882,0
755.3907542,636.2300371,541.1538334,702.8906692,0.769897592,0.905162161,1.07469168,1.175691639,1.395889131,0.893953662,0
347.9625322,393.1871321,187.8281393,428.2567901,0.43858765,0.918110678,0.812509084,2.093334543,1.852558054,0.831255762,0
346.626304,396.2813411,190.1145146,430.8513199,0.441253179,0.919763554,0.804514894,2.084434963,1.82325008,0.835858721,0
280.6235834,282.3387559,198.3617158,415.8651897,0.476985621,0.678918945,0.674794598,1.423353064,1.414706373,1.091062159,0
221.0922282,213.5891273,171.6979437,398.8295943,0.430504522,0.535539815,0.554352614,1.243981859,1.287681282,1.312519,0
197.7725578,180.2273964,150.1308975,318.0444856,0.472043706,0.566673546,0.621839292,1.200468387,1.317334147,1.238559365,0
183.9129871,147.7836326,132.458952,288.9644389,0.458391879,0.511424981,0.636455433,1.115693808,1.388452682,1.270508549,0
183.5570554,146.4555089,133.3928407,286.3095236,0.465904309,0.511528597,0.64111404,1.097926307,1.376063771,1.271776925,0
183.4489082,150.6488735,132.2868257,285.7037198,0.463021013,0.527290557,0.642094924,1.138804811,1.386751154,1.251102427,0
181.6893481,152.0937251,131.6366541,280.6882884,0.468978078,0.54185989,0.647299355,1.155405584,1.380233715,1.235308125,0
154.2781452,121.1369427,118.8049283,265.5428247,0.447404024,0.456186089,0.58099158,1.019628937,1.298583716,1.395521777,0
154.0717246,117.4884001,109.9780459,261.3154058,0.420863231,0.449603802,0.589600617,1.068289576,1.400931643,1.367260573,0
149.345833,113.8439049,111.0244549,265.3228812,0.418450359,0.429076846,0.562883353,1.025394856,1.345161597,1.429946848,0
148.6495406,112.2934511,111.4734306,252.2142565,0.441979102,0.445230387,0.589378026,1.007356197,1.333497496,1.393743839,0
150.6220462,97.95667013,102.5491604,240.2019451,0.426928934,0.407809646,0.627064223,0.955216696,1.468778931,1.378843332,0
137.5327921,105.2762797,98.57091814,223.369088,0.441291671,0.471310872,0.615719898,1.068025759,1.395267435,1.325897767,0
86.65794793,101.3768723,95.52178079,210.6533134,0.453454917,0.481249835,0.411377094,1.061295879,0.90720616,1.628289344,0
